Sample,Date,a (412)
AR2,9/15/2021,4.42176
AR3,9/15/2021,11.10046
CC1,9/15/2021,2.0727
CH1,9/15/2021,2.80966
CH2,9/15/2021,2.02664
CH3,9/15/2021,2.02664
CS1,9/15/2021,1.70422
FB1,9/15/2021,1.3818
FC1,9/15/2021,5.2969
HC1,9/15/2021,2.57936
HC2,9/15/2021,3.08602
JIC1,9/15/2021,5.11266
JIC2,9/15/2021,5.61932
SC1,9/15/2021,2.02664
SC2,9/15/2021,1.6121
SC3,9/15/2021,4.00722
SR1,9/15/2021,3.59268
WC1,9/15/2021,7.23142
WR1,9/15/2021,2.0727
AR1,9/22/2021,2.90178
AR2,9/22/2021,2.67148
AR3,9/22/2021,11.0544
CC1,9/22/2021,1.6121
CH1,9/22/2021,1.93452
CH2,9/22/2021,1.75028
CH3,9/22/2021,3.03996
CS1,9/22/2021,2.71754
FB1,9/22/2021,3.63874
FC1,9/22/2021,6.2181
HC1,9/22/2021,1.51998
HC2,9/22/2021,1.98058
JIC1,9/22/2021,1.93452
JIC2,9/22/2021,3.9151
SC1,9/22/2021,2.16482
SC2,9/22/2021,2.80966
SC3,9/22/2021,2.57936
SR1,9/22/2021,0.73696
WC1,9/22/2021,2.80966
WR1,9/22/2021,2.71754
AR1,9/29/2021,7.18536
AR2,9/29/2021,8.88958
AR3,9/29/2021,12.57438
CC1,9/29/2021,1.56604
CH1,9/29/2021,5.94174
CH2,9/29/2021,0.96726
CH3,9/29/2021,1.65816
CS1,9/29/2021,1.79634
FB1,9/29/2021,1.70422
FC1,9/29/2021,6.63264
HC1,9/29/2021,1.42786
HC2,9/29/2021,1.65816
JIC1,9/29/2021,3.40844
JIC2,9/29/2021,4.79024
SC1,9/29/2021,2.25694
SC2,9/29/2021,1.28968
SC3,9/29/2021,3.27026
SR1,9/29/2021,4.606
WC1,9/29/2021,9.71866
WR1,9/29/2021,2.21088
AR1,10/6/2021,2.02664
AR2,10/6/2021,2.0727
AR3,10/6/2021,11.00834
CC1,10/6/2021,2.16482
CH1,10/6/2021,3.54662
CH2,10/6/2021,1.75028
CH3,10/6/2021,2.5333
CS1,10/6/2021,1.75028
FB1,10/6/2021,1.6121
FC1,10/6/2021,4.88236
HC1,10/6/2021,1.75028
HC2,10/6/2021,2.21088
JIC1,10/6/2021,3.31632
JIC2,10/6/2021,5.38902
SC1,10/6/2021,2.5333
SC2,10/6/2021,1.42786
SC3,10/6/2021,1.56604
SR1,10/6/2021,1.24362
WC1,10/6/2021,3.63874
WR1,10/6/2021,1.6121
AR1,10/13/2021,4.606
AR2,10/13/2021,4.19146
AR3,10/13/2021,7.96838
CC1,10/13/2021,1.42786
CH1,10/13/2021,5.43508
CH2,10/13/2021,1.51998
CH3,10/13/2021,1.24362
CS1,10/13/2021,1.05938
FB1,10/13/2021,0.6909
FC1,10/13/2021,6.49446
HC1,10/13/2021,1.47392
HC2,10/13/2021,1.8424
JIC1,10/13/2021,2.9939
JIC2,10/13/2021,2.57936
SC1,10/13/2021,0.96726
SC2,10/13/2021,1.1515
SC3,10/13/2021,2.02664
SR1,10/13/2021,3.2242
WC1,10/13/2021,6.49446
WR1,10/13/2021,1.19756
AR1,10/20/2021,2.67148
AR2,10/20/2021,3.77692
AR3,10/20/2021,5.84962
CC1,10/20/2021,1.51998
CH1,10/20/2021,3.03996
CH2,10/20/2021,2.21088
CH3,10/20/2021,0.82908
CS1,10/20/2021,0.96726
FB1,10/20/2021,0.73696
FC1,10/20/2021,4.46782
HC1,10/20/2021,2.21088
HC2,10/20/2021,5.38902
JIC1,10/20/2021,4.05328
JIC2,10/20/2021,2.71754
SC1,10/20/2021,2.39512
SC2,10/20/2021,3.2242
SC3,10/20/2021,3.59268
SR1,10/20/2021,1.01332
WC1,10/20/2021,2.34906
WR1,10/20/2021,1.42786
AR1,10/27/2021,3.13208
AR2,10/27/2021,3.96116
AR3,10/27/2021,5.38902
CC1,10/27/2021,1.1515
CH1,10/27/2021,1.93452
CH2,10/27/2021,1.6121
CH3,10/27/2021,2.34906
CS1,10/27/2021,1.3818
FB1,10/27/2021,1.10544
FC1,10/27/2021,4.23752
